date,sales,cups,avg_spend,temperature,cloud_cover,sunny
1/1/15,410.88,128,3.21,50,0,sunny
1/2/15,483,161,3,51,1,sunny
1/3/15,720.48,158,4.56,54,1,sunny
1/4/15,519.96,84,6.19,56,2,sunny
1/5/15,1167.75,173,6.75,62,2,sunny
1/6/15,1908.64,316,6.04,65,1,sunny
1/7/15,412.92,74,5.58,64,5,sunny
1/8/15,716.43,143,5.01,62,6,cloudy
1/9/15,724.2,170,4.26,61,5,sunny
1/10/15,865.58,226,3.83,62,6,cloudy
1/11/15,360,120,3,60,7,cloudy
1/12/15,790.56,162,4.88,63,6,cloudy
1/13/15,894.74,166,5.39,62,4,sunny
1/14/15,1132.74,203,5.58,61,1,sunny
1/15/15,645.15,115,5.61,62,1,sunny
1/16/15,1536.92,308,4.99,61,2,sunny
1/17/15,741.96,162,4.58,61,1,sunny
1/18/15,1007.19,171,5.89,62,4,sunny
1/19/15,436.15,143,3.05,59,5,sunny
1/20/15,417.12,132,3.16,59,8,cloudy
1/21/15,996.96,186,5.36,62,4,sunny
1/22/15,1041.67,161,6.47,61,4,sunny
1/23/15,1099.17,207,5.31,61,2,sunny
1/24/15,1616.67,207,7.81,65,0,sunny
1/25/15,376.94,94,4.01,65,4,sunny
1/26/15,628.86,141,4.46,66,6,cloudy
1/27/15,1093.35,197,5.55,67,4,sunny
1/28/15,1571.76,296,5.31,63,7,cloudy
1/29/15,778.32,207,3.76,65,8,cloudy
1/30/15,422.24,104,4.06,63,7,cloudy
1/31/15,1900.3,310,6.13,63,5,sunny
2/1/15,1626.4,214,7.6,62,2,sunny
2/2/15,1310.68,302,4.34,63,3,sunny
2/3/15,469.82,139,3.38,61,6,cloudy
2/4/15,588,196,3,60,5,sunny
2/5/15,465.75,115,4.05,63,5,sunny
2/6/15,1464.12,249,5.88,64,3,sunny
2/7/15,956.3,131,7.3,61,4,sunny
2/8/15,1193.4,170,7.02,65,2,sunny
2/9/15,1969.92,288,6.84,65,5,sunny
2/10/15,805.2,132,6.1,62,1,sunny
2/11/15,1176.86,163,7.22,68,2,sunny
2/12/15,879,293,3,71,1,sunny
2/13/15,1535.64,191,8.04,69,1,sunny
2/14/15,1831.44,312,5.87,72,2,sunny
2/15/15,3168.48,336,9.43,67,3,sunny
2/16/15,1194.72,262,4.56,62,6,cloudy
2/17/15,2083.4,220,9.47,64,4,sunny
2/18/15,713.4,164,4.35,63,6,cloudy
2/19/15,930.3,210,4.43,63,7,cloudy
2/20/15,981.36,232,4.23,63,7,cloudy
2/21/15,1018.14,213,4.78,63,7,cloudy
2/22/15,633,211,3,63,7,cloudy
2/23/15,1429.41,159,8.99,61,4,sunny
2/24/15,75,25,3,59,1,sunny
2/25/15,1290,172,7.5,61,2,sunny
2/26/15,333,111,3,59,3,sunny
2/27/15,883.56,222,3.98,61,6,cloudy
2/28/15,788.7,165,4.78,61,6,cloudy
3/1/15,873.6,210,4.16,58,7,cloudy
3/2/15,928.33,193,4.81,57,6,cloudy
3/3/15,532.18,118,4.51,59,4,sunny
3/4/15,727.59,237,3.07,60,1,sunny
3/5/15,2934.4,262,11.2,63,0,sunny
3/6/15,1409.58,246,5.73,64,0,sunny
3/7/15,1118,215,5.2,69,0,sunny
3/8/15,2047.26,298,6.87,64,2,sunny
3/9/15,807.64,122,6.62,62,3,sunny
3/10/15,1480.48,304,4.87,63,4,sunny
3/11/15,1415.64,282,5.02,66,6,cloudy
3/12/15,1862.52,249,7.48,69,1,sunny
3/13/15,1685.04,413,4.08,75,1,sunny
3/14/15,1798.6,340,5.29,77,2,sunny
3/15/15,2191.7,217,10.1,67,4,sunny
3/16/15,1416,354,4,77,6,cloudy
3/17/15,1225.58,263,4.66,70,6,cloudy
3/18/15,566.28,117,4.84,66,7,cloudy
3/19/15,1847.88,236,7.83,67,5,sunny
3/20/15,1140.48,162,7.04,67,4,sunny
3/21/15,633,211,3,66,5,sunny
3/22/15,1094.4,190,5.76,65,6,cloudy
3/23/15,1437.92,304,4.73,64,4,sunny
3/24/15,468,156,3,65,3,sunny
3/25/15,816,272,3,69,1,sunny
3/26/15,2439.84,299,8.16,72,0,sunny
3/27/15,1201.2,264,4.55,72,2,sunny
3/28/15,826.22,218,3.79,68,5,sunny
3/29/15,1604.06,278,5.77,68,6,cloudy
3/30/15,2511,270,9.3,66,4,sunny
3/31/15,1028.28,228,4.51,65,6,cloudy
4/1/15,1471.01,289,5.09,67,5,sunny
4/2/15,1654.9,335,4.94,66,6,cloudy
4/3/15,2038.56,372,5.48,73,3,sunny
4/4/15,786,262,3,68,4,sunny
4/5/15,810.73,251,3.23,65,5,sunny
4/6/15,2704.8,230,11.76,63,4,sunny
4/7/15,936,312,3,63,5,sunny
4/8/15,1044.9,215,4.86,62,3,sunny
4/9/15,580.9,185,3.14,63,3,sunny
4/10/15,942.88,284,3.32,64,5,sunny
4/11/15,1096.64,298,3.68,63,2,sunny
4/12/15,2230.62,282,7.91,63,2,sunny
4/13/15,1800.64,331,5.44,67,4,sunny
4/14/15,2014.96,283,7.12,67,3,sunny
4/15/15,534,178,3,67,1,sunny
4/16/15,2050.84,316,6.49,70,0,sunny
4/17/15,1259.6,335,3.76,67,0,sunny
4/18/15,1836.12,321,5.72,68,1,sunny
4/19/15,1516.26,222,6.83,65,5,sunny
4/20/15,1542.27,303,5.09,65,5,sunny
4/21/15,2050.99,317,6.47,66,6,cloudy
4/22/15,1618.38,333,4.86,63,7,cloudy
4/23/15,1634.43,301,5.43,64,7,cloudy
4/24/15,1284.69,229,5.61,63,7,cloudy
4/25/15,1216.56,274,4.44,63,6,cloudy
4/26/15,1477.25,311,4.75,65,6,cloudy
4/27/15,3107.58,343,9.06,69,1,sunny
4/28/15,2116.7,347,6.1,72,0,sunny
4/29/15,1751.92,359,4.88,71,3,sunny
4/30/15,1969.4,215,9.16,71,3,sunny
5/1/15,1402.08,276,5.08,71,5,sunny
5/2/15,2351.45,359,6.55,66,5,sunny
5/3/15,1161,270,4.3,66,6,cloudy
5/4/15,891.99,187,4.77,65,6,cloudy
5/5/15,931.12,206,4.52,65,7,cloudy
5/6/15,903.21,161,5.61,64,7,cloudy
5/7/15,1254.04,293,4.28,62,7,cloudy
5/8/15,385.77,77,5.01,58,7,cloudy
5/9/15,1247.4,324,3.85,65,6,cloudy
5/10/15,942.84,162,5.82,64,3,sunny
5/11/15,1220.18,338,3.61,66,4,sunny
5/12/15,1433.85,363,3.95,64,5,sunny
5/13/15,901.19,227,3.97,62,6,cloudy
5/14/15,654,218,3,63,6,cloudy
5/15/15,1492,200,7.46,61,5,sunny
5/16/15,960.96,286,3.36,63,6,cloudy
5/17/15,1733.99,317,5.47,63,5,sunny
5/18/15,1551.84,244,6.36,65,5,sunny
5/19/15,734.16,184,3.99,64,4,sunny
5/20/15,1418.99,289,4.91,65,6,cloudy
5/21/15,969.92,224,4.33,64,7,cloudy
5/22/15,1399.41,213,6.57,64,6,cloudy
5/23/15,1235.22,238,5.19,65,6,cloudy
5/24/15,847.74,199,4.26,65,6,cloudy
5/25/15,1033.05,213,4.85,63,8,cloudy
5/26/15,1848.6,395,4.68,65,8,cloudy
5/27/15,1419.6,280,5.07,65,7,cloudy
5/28/15,1435.94,214,6.71,67,6,cloudy
5/29/15,1126.65,259,4.35,66,6,cloudy
5/30/15,955.8,177,5.4,67,7,cloudy
5/31/15,823.44,146,5.64,64,6,cloudy
6/1/15,1997.5,235,8.5,67,4,sunny
6/2/15,1185.44,248,4.78,67,4,sunny
6/3/15,1041.68,232,4.49,65,6,cloudy
6/4/15,704.13,147,4.79,65,7,cloudy
6/5/15,1500.24,282,5.32,65,5,sunny
6/6/15,1977.08,322,6.14,67,3,sunny
6/7/15,1835.34,362,5.07,68,3,sunny
6/8/15,1798.72,224,8.03,69,5,sunny
6/9/15,2264.76,324,6.99,75,6,cloudy
6/10/15,1257,300,4.19,68,8,cloudy
6/11/15,1419.84,272,5.22,67,7,cloudy
6/12/15,780.67,151,5.17,66,8,cloudy
6/13/15,1650.02,391,4.22,67,7,cloudy
6/14/15,1697.71,307,5.53,67,8,cloudy
6/15/15,1421.75,275,5.17,69,7,cloudy
6/16/15,1439.88,213,6.76,67,7,cloudy
6/17/15,1141.2,317,3.6,68,4,sunny
6/18/15,2222.64,392,5.67,69,5,sunny
